,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIDM00334,-5.63257,7.99542,2.56644,-1.24561,4.55322,2.2234,-2.75812,0.73741,-1.9927,0.94402
SIDM00332,-0.52956,0.58929,7.60088,6.42521,-3.88564,-1.19315,-3.28636,-2.03573,3.55797,-4.15006
SIDM00386,-0.37989,-3.76228,6.39566,-2.91346,-2.07639,0.42849,-0.23208,1.43094,1.07475,-2.31043
SIDM00505,-2.08955,-3.06329,-0.52647,3.44261,-1.26471,0.07539,-1.49825,-0.51802,0.07902,0.59763
SIDM00260,-2.92074,0.0436,1.72594,-0.65117,-0.53814,-2.35362,-1.28923,0.59554,-0.00223,0.16761
SIDM00504,-4.42859,8.15544,2.81875,-3.16097,-1.94688,-0.81047,-0.40988,-0.77888,0.58349,-0.34751
SIDM00259,-0.35695,-8.82726,7.58761,-0.35056,3.2233,7.55997,2.78485,0.8691,0.28137,-2.78632
SIDM00257,0.28024,-8.51675,2.3215,-5.66519,7.72442,1.28807,-5.56731,-2.57521,0.07145,0.09675
SIDM00255,-0.14222,-6.05787,7.56873,-1.85212,1.32344,3.86656,1.08799,-1.17935,2.30604,-4.60723
SIDM00254,-0.08441,-5.53373,4.18803,-2.81868,-2.63789,0.93954,-0.40729,2.0209,1.0507,-3.64806
SIDM00253,-1.06052,-5.95116,5.95102,-2.09212,1.36288,2.73876,0.65226,2.06833,2.6241,-4.04085
SIDM00244,1.55222,-4.93113,8.1581,-1.27812,-1.08365,5.65624,1.29417,-1.62088,1.33865,-2.14949
SIDM00156,1.99118,-3.1392,7.60342,-1.81276,-2.62504,-1.50605,-2.40107,0.08251,-1.40939,-0.45619
SIDM00651,-2.0435,-2.08637,-0.55729,-1.51383,0.37239,-2.20787,-1.87505,1.46314,-2.59966,-1.48872
SIDM00649,-3.77212,4.50179,1.7453,-2.98975,-0.8196,-0.83535,0.04367,-1.57321,-0.56052,1.33712
SIDM00645,-5.23837,4.25014,-1.9985,-2.22056,2.26376,-1.0238,0.29718,-0.20946,-0.02883,-0.48532
SIDM00750,-4.54357,-5.84828,-5.24035,-2.85543,2.56122,-0.22829,-1.03003,1.28344,-0.00662,0.9462
SIDM00745,-5.06488,-1.2491,-0.98527,-1.01668,0.73856,2.46585,2.25136,2.78125,0.62917,-0.34943
SIDM00738,-2.73211,0.15516,1.18017,-4.31861,-2.58072,-1.14308,0.53415,-3.03079,2.66246,1.47208
SIDM00768,-3.19624,-4.85686,-3.00019,-1.44227,1.16353,-1.33036,-0.53192,0.07374,-0.52051,0.05321
SIDM00763,-4.54576,-6.66753,-5.63147,-1.27573,0.29922,0.52943,2.88956,2.63592,-0.74494,-0.99804
SIDM00762,-1.13378,-4.64254,4.00444,-1.07381,0.29037,1.70653,0.65346,0.93027,1.41003,-0.81156
SIDM00759,-2.6887,-4.50979,-2.22793,-2.657,-0.51232,-1.17308,-0.7937,-0.05593,0.57661,0.69442
SIDM00758,-4.33228,-2.74499,-6.38335,-1.14856,3.66569,-1.29994,0.1691,-2.88595,-1.47336,1.21955
SIDM00753,-0.11146,-4.79395,4.26339,-3.0432,-3.28151,-3.14108,0.72577,-0.0722,0.95153,1.32624
SIDM00708,-1.6873,-5.12113,-0.83392,-2.29599,0.27834,-2.12387,-0.4697,0.78125,-0.33924,1.53313
SIDM00716,-2.47701,-5.54015,0.44376,-0.24053,-0.18872,-1.64172,1.25956,1.51509,-0.76171,0.62215
SIDM00139,-8.21365,4.4646,-4.29299,-4.49398,5.11485,3.28113,1.42259,-1.35724,-0.54084,0.85281
SIDM00138,0.10659,-4.77953,5.89353,0.73562,0.42488,2.65024,-1.94923,1.29464,1.07447,-0.70038
SIDM00517,-4.15326,2.0054,0.42831,-3.02064,-1.17465,-1.63127,0.0846,-0.43312,2.80136,-1.20297
SIDM00137,-7.76828,11.60729,-0.48488,-0.54116,2.22782,-0.79701,0.76628,-1.03287,-0.03831,-0.15328
SIDM00117,-7.50692,2.32274,-3.16786,-5.75991,7.37116,3.86934,-1.08821,-1.6011,2.06611,1.98315
SIDM00718,-5.02535,-4.53667,-3.97551,-0.02333,0.93946,0.18293,3.02835,1.7392,-2.29769,0.34164
SIDM01130,-1.75518,-6.10046,0.08878,-1.01067,0.95182,0.1421,-0.61076,2.49241,-1.3687,-0.9951
SIDM01124,-4.88065,-6.23292,-5.94073,-2.02209,4.77424,0.67882,0.83623,-0.49698,-0.43336,1.85866
